podcast,rssFeed,download,dateStart,dateStop
Economist Podcasts,https://access.acast.com/rss/ec380acc-fe13-46a0-991f-a1e508d126f8,no,1,1
Intercepted,https://feeds.acast.com/public/shows/f5b64019-68c3-57d4-b70b-043e63e5cbf6,no,1,1
Deconstructed,https://feeds.acast.com/public/shows/1d1223a2-9d05-473b-9e79-c2b65b71d676,no,1,1
Pod Save America,https://feeds.simplecast.com/dxZsm5kX,no,1,1
Today Explained,https://feeds.megaphone.fm/VMP5705694065,no,1,1
Crime Junkie,https://feeds.simplecast.com/qm_9xx0g,no,1,1
Something Was Wrong,https://rss.art19.com/somethingwaswrong,no,1,1
Wired Security,https://feeds.megaphone.fm/wired-security,no,1,1
Amicus With Dahlia Lithwick,https://feeds.megaphone.fm/slatesamicuswithdahlialithwick,no,1,1
Darknet Diaries,https://podcast.darknetdiaries.com/,no,1,1
Search Engine,https://feeds.megaphone.fm/search-engine,no,1,1
Decoder Ring,https://feeds.megaphone.fm/decoderring,no,1,1
99 Percent Invisible,https://feeds.simplecast.com/BqbsxVfO,no,1,1
Cautionary Tales with Tim Harford,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/c0ae8c6e-22f0-4e9b-ac1c-ae390037ac53/7f5a4714-6b10-4ccf-a424-ae390037ac70/podcast.rss,no,1,1
Radiolab,http://feeds.feedburner.com/radiolab,no,1,1
Throughline,https://feeds.npr.org/510333/podcast.xml,no,2019-01-01,2019-06-30
How to Fix the Internet,https://feeds.eff.org/howtofixtheinternet,no,1,1
Talking Transitions,https://feeds.acast.com/public/shows/655bc55264b7080012a29f22,no,1,1
The Unshakables,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/2e063e16-ff01-4204-a8f1-b0cb00e5fdcd/ffe5a090-fae7-455d-a2c6-b0cb00e950e2/podcast.rss,no,1,1
What a Day,https://feeds.simplecast.com/M7qXQ5Pd,no,1,1
Offline with Jon Favreau,https://feeds.simplecast.com/fQ3mywpV,no,1,1
The Wilderness,https://feeds.simplecast.com/n_gL1Piz,no,1,1
What Now with Trevor Noah,https://feeds.megaphone.fm/GLT9681566788,no,1,1
Hidden Brain,https://feeds.simplecast.com/kwWc0lhf,no,1,1
American Scandal,https://rss.art19.com/american-scandal,yes,2024-02-28,2024-03-20
How I Built This,https://rss.art19.com/how-i-built-this,no,1,1
British Scandal,https://rss.art19.com/british-scandal,no,2021-04-25,2021-05-28
LeVar Burton Reads,https://feeds.simplecast.com/LDNgBXht,no,2024-03-29,1
The New Yorker Fiction,https://publicfeeds.net/f/6232/new-yorker-fiction,no,2024-03-01,1
